State,Wine_DTC_Status,Volume_Limit_Per_Resident,Permit_Fee_USD,Notes
Alabama,Permitted,12 cases,200,"Annual permit; adult signature"
Alaska,Permitted,No state limit,0,"Dry communities may restrict"
Arizona,Permitted,12 cases,25,"AZ DOR direct shipment"
Arkansas,Limited (on-site only),1 case / 30 days,25,"Must purchase on-site at winery"
California,Permitted,No limit,10,"Type 82 license"
Colorado,Permitted,12 cases,50,"Excise tax returns required"
Connecticut,Permitted,25 bottles / 2 months,315,"Sales to in-state wholesalers allowed"
Delaware,On-site only,No limit,N/A,"Must ship through DE wholesaler"
District of Columbia,Permitted,1 case / month,50,"Excise tax monthly"
Florida,Permitted,No limit,0,"County dry laws apply"
Georgia,Permitted,12 cases,50,"Excise tax due quarterly"
Hawaii,Permitted,6 cases,0,"HI liquor commission registration"
Idaho,Permitted,24 cases,50,"Label registration"
Illinois,Permitted,12 cases,350,"Illinois Winery Shipper's License"
Indiana,Permitted,18 liters,0,"Adult signature; ID check"
Iowa,Permitted,18 liters,0,"Fulfillment house registration"
Kansas,Permitted,12 cases,0,"Delivery to dry counties banned"
Kentucky,Permitted,10 liters / month,100,"Depletion tax returns"
Louisiana,Permitted,12 cases,150,"Label registration each SKU"
Maine,Permitted,12 cases,0,"State sales & excise tax returns"
Maryland,Permitted,18 liters,200,"Separate counties rules"
Massachusetts,Permitted,12 cases,300,"DOR direct shipper license"
Michigan,Permitted,12 cases,100,"Fulfillment house license needed"
Minnesota,Permitted,2 cases,0,"MN 340A.417 permit"
Mississippi,Limited (on-site only),10 cases,0,"Must purchase at licensed premises"
Missouri,Permitted,2 cases / month,100,"Direct shipper license"
Montana,Permitted,18 liters,0,"Label registration optional"
Nebraska,Permitted,1 case / month,500,"Carrier reporting"
Nevada,Permitted,12 cases,50,"Brand registration"
New Hampshire,Permitted,12 cases,100,"Ship to state ABC store or direct"
New Jersey,Permitted (small wineries ≤250K gal),12 cases,938,"Two-tier production limit"
New Mexico,Permitted,2 cases / month,50,"GRT tax filings"
New York,Permitted,36 cases,375,"Schedule FS filings"
North Carolina,Permitted,2 cases / month,100,"Adult signature 21+"
North Dakota,Permitted,3 cases / month,50,"Brand label registration"
Ohio,Permitted,24 cases,50,"W-26 annual report"
Oklahoma,Permitted,6 cases,300,"$5 excise per case"
Oregon,Permitted,2 cases / month,10,"Privilege tax returns"
Pennsylvania,Permitted,36 cases,250,"PA DSTA license"
Rhode Island,On-site only,No limit,N/A,"Consumer carry only"
South Carolina,Permitted,2 cases / month,600,"SC DOR COLA registration"
South Dakota,Permitted,12 cases,150,"Quarterly filings"
Tennessee,Permitted,3 cases,300,"Sales limited to 1 case / month"
Texas,Permitted,9 gallons,160,"Texas COM per-shipment reports"
Utah,Prohibited,0,N/A,"No DTC shipping"
Vermont,Permitted,12 cases,300,"Monthly direct shipper report"
Virginia,Permitted,2 cases / month,195,"Privilege tax monthly"
Washington,Permitted,2 cases / month,100,"Litter tax"
West Virginia,Permitted,2 cases / month,150,"Excise tax returns"
Wisconsin,Permitted,108 liters,0,"Wis. STAT § 125.535 license"
Wyoming,Permitted,12 cases,100,"Brand registration; carrier reports" 
